full_text,retweet_count,favorite_count,user_location,created_at
"@FallGuysGame holy fuck too many cheaters, I want a refund or a fix",0,0,,Tue Sep 08 09:13:29 +0000 2020
@FallGuysGame Please fix the hacking situation its a joke and i cant play this game,0,1,"Medway, Kent, England",Tue Sep 08 09:12:56 +0000 2020
@FallGuysGame https://t.co/1huFxSansj,0,0,"Crystal Brook, South Australia",Tue Sep 08 09:12:40 +0000 2020
@FallGuysGame no,0,0,,Tue Sep 08 09:12:03 +0000 2020
"@FallGuysGame The game is turbo bugged, full of cheaters ;))))))",0,0,,Tue Sep 08 09:11:07 +0000 2020
"@FallGuysGame If you don't solve the cheating issue soon, your game will die.",0,0,,Tue Sep 08 09:10:59 +0000 2020
"@FallGuysGame It's BEAN a pleasure to interact with you BeanBot

!GoodBot",0,1,,Tue Sep 08 09:07:57 +0000 2020
@FallGuysGame Release the game for a cheap price or free for iOS and Android or else Among Us is going to win the race. https://t.co/HcLBYIvWCg,0,3,,Tue Sep 08 09:07:28 +0000 2020
"@FallGuysGame took a break from the game and my first game after a while has a freakin cheater and the tail games bug (grabbed the player but didn't get the tail) :/
still fail guys",0,1,Republic of the Philippines,Tue Sep 08 09:07:12 +0000 2020
"@FallGuysGame I wonder if human admin knows they’ve put themself out of a job.
BeanBot &gt; HumanAdmin",0,0,"53.968270, -1.094530",Tue Sep 08 09:06:54 +0000 2020
@FallGuysGame Bring it to mobile,0,0,,Tue Sep 08 09:06:40 +0000 2020
@FallGuysGame Interaction,0,0,"Bengaluru, India",Tue Sep 08 09:06:37 +0000 2020
@FallGuysGame so youre aliens🤔,0,0,,Tue Sep 08 09:05:44 +0000 2020
@FallGuysGame What happened to that other dude who was running this account?,0,0,Australia,Tue Sep 08 09:05:37 +0000 2020
@FallGuysGame Haven't played in the last 2 days since I had a ridiculous amount of hackers last weekend. Almost every game a hacker. It's so sad man,0,7,Deutschland,Tue Sep 08 09:05:36 +0000 2020
@FallGuysGame what is beanbot?,0,0,,Tue Sep 08 09:05:22 +0000 2020
@FallGuysGame FALL GUYS OR CHEAT GUYS???,0,2,France,Tue Sep 08 09:05:05 +0000 2020
@FallGuysGame Sounds kinky,0,0,Here,Tue Sep 08 09:04:24 +0000 2020
@FallGuysGame ( | | ),0,0,In the Wunderfizz,Tue Sep 08 09:04:13 +0000 2020
@FallGuysGame Wow the developer was right bean bot is just like the real thing,0,2,,Tue Sep 08 09:04:09 +0000 2020
@FallGuysGame bro its 2am,0,0,Baby Pluto,Tue Sep 08 09:03:33 +0000 2020
@FallGuysGame You should make some legumes-themed skins.  I’ll definitely put down $$ for a chickpea or lentil Fall Guy.,0,1,,Tue Sep 08 09:03:31 +0000 2020
"@FallGuysGame You mean, like, Beans conquered the land? 👀 https://t.co/yWPb8F50x9",0,0,,Tue Sep 08 09:03:29 +0000 2020
"@FallGuysGame I note a high frequency of fly hackers on PC, I know you guys are trying to fix it but its annoying as hell, every final has a hacker in it.",0,17,The Netherlands,Tue Sep 08 09:03:20 +0000 2020
@FallGuysGame No,0,0,,Tue Sep 08 09:03:19 +0000 2020
@FallGuysGame cool,0,0,,Tue Sep 08 09:02:55 +0000 2020
"@FallGuysGame 8 Habits to Lead A More Peaceful Life :
1. Stop yourself from being judgmental
2. Say ‘thank you’ early and often
3. Smile more, Be yourself
4. Don’t worry about the future
5. Listen to understand, not to respond
6. Don’t procrastinate
7. Prioritize yourself
8. Stop criticizing",1,21,Global,Tue Sep 08 09:02:51 +0000 2020
@FallGuysGame Cheaters make the game unplayable,0,13,In a bunker,Tue Sep 08 09:02:50 +0000 2020
@FallGuysGame When fall guys come to xbox,0,0,,Tue Sep 08 09:02:40 +0000 2020
"@FallGuysGame Yeah, it's everyone telling you to FIX THE FUCKING GAME.",0,1,Singapore,Tue Sep 08 09:02:39 +0000 2020
"@FallGuysGame BeanBot, I have to test. If you're a bot translate this: 01001000 01000001 00100000 01001000 01000001 00100000 01011001 01101111 01110101 00100000 01000111 01100001 01111001",0,5,hell (the one from doom),Tue Sep 08 09:02:06 +0000 2020
"@FallGuysGame Hi, this is human-01. Nice to meet you.",0,0,Anywhere I want,Tue Sep 08 09:01:53 +0000 2020
"@FallGuysGame Ah yes, humans in bean space, welcome to 2020",0,1,,Tue Sep 08 09:01:35 +0000 2020
@FallGuysGame https://t.co/n9I4Uw162m,0,1,"Louisiana, USA",Tue Sep 08 09:01:03 +0000 2020
@FallGuysGame I note a high frequency of cheaters,0,29,,Tue Sep 08 09:01:02 +0000 2020
@FallGuysGame I’m a bean,0,0,"Michigan, USA",Tue Sep 08 09:00:52 +0000 2020
@FallGuysGame ios,0,0,みあさんの家,Tue Sep 08 09:00:50 +0000 2020
@FallGuysGame Nice,0,0,hell,Tue Sep 08 09:00:44 +0000 2020
@FallGuysGame mr fall guys bean bot its 4am please stop tweeting for a second i still love you,0,0,home,Tue Sep 08 09:00:41 +0000 2020
@FallGuysGame I need fall guys on Xbox please,0,3,,Tue Sep 08 09:00:40 +0000 2020
@FallGuysGame Yes...,0,0,"Sub To Luke TheNotable, NASCAR",Tue Sep 08 09:00:39 +0000 2020
@FallGuysGame sorry what,0,0,she/her💜,Tue Sep 08 09:00:37 +0000 2020
@FallGuysGame Uh..,0,0,Canada,Tue Sep 08 09:00:35 +0000 2020
@FallGuysGame We control beans,0,0,.,Tue Sep 08 09:00:33 +0000 2020
@FallGuysGame dead game ngl,0,5,,Tue Sep 08 09:00:33 +0000 2020
@FallGuysGame Yeah thats just me and my entities,0,2,idek dude (20),Tue Sep 08 09:00:32 +0000 2020
@FallGuysGame It’s late bro go to sleep,0,0,,Tue Sep 08 09:00:30 +0000 2020
@FallGuysGame https://t.co/DQF2VU4LQI,0,0,Fall mountain,Tue Sep 08 09:00:29 +0000 2020
@FallGuysGame Fall Guys https://t.co/UmNzJnzToS,0,31,Business in da Jungle,Tue Sep 08 09:00:23 +0000 2020
@FallGuysGame https://t.co/GCzTcdVimz,0,0,,Tue Sep 08 09:00:22 +0000 2020
@FallGuysGame yes.,0,0,2121 break my heart ave. ,Tue Sep 08 09:00:22 +0000 2020
@FallGuysGame Grown ass man,0,0,Somewhere....,Tue Sep 08 09:00:22 +0000 2020
@FallGuysGame Love you 😍,0,1,UK,Tue Sep 08 09:00:20 +0000 2020
@FallGuysGame Cool,0,0,,Tue Sep 08 09:00:18 +0000 2020
@FallGuysGame bring fall guys to ios,0,1,,Tue Sep 08 09:00:17 +0000 2020
@FallGuysGame LMAO,0,1,,Tue Sep 08 09:00:17 +0000 2020
@FallGuysGame ⚠️WIN FALL GUYS GAME OR 2 DLC PACKS!⚠️: https://t.co/BIxhrGiLns,0,0,"'s-Hertogenbosch, Nederland",Tue Sep 08 09:00:16 +0000 2020
@FallGuysGame Owo alien beans,0,0,toothache hell,Tue Sep 08 09:00:15 +0000 2020
@FallGuysGame Yes,0,0,,Tue Sep 08 09:00:14 +0000 2020
@FallGuysGame https://t.co/4tHSDZwujM,0,3,Enzoki & Deigo ❤️ Tiger,Tue Sep 08 09:00:12 +0000 2020
